City;Traffic Index;Time Index;Time Exp. Index;Inefficiency Index;CO2�Emission Index
Istanbul, Turkey;310.5;72.4;35984.3;260.7;6240
Mumbai, India;300.7;70.4;32065.8;319.1;6648.6
Pune, India;289.7;65.3;23220.5;385.1;16470
Kolkata, India;281.7;63.4;20324.3;519.4;16811.2
Saint Petersburg, Russia;273.8;68.3;28209.6;396.8;1866.7
Nairobi, Kenya;263.7;66;24276.3;223.5;4352
Los Angeles, CA, United States;259;61.8;18042.6;310.2;12295
Dhaka, Bangladesh;248.5;60.2;16053.5;374.8;10722
Tehran, Iran;248.2;61;17061.8;276.8;9551.6
Moscow, Russia;246.8;62.6;19135.1;238.9;5554.7
Cairo, Egypt;245.8;58.8;14324;265.3;15627.5
Seattle, WA, United States;236.9;55.5;10888.4;755.4;14763
San Diego, CA, United States;232;60;15807.5;258.9;5476.7
Mexico City, Mexico;230.5;56;11378.5;378.5;14060
Jakarta, Indonesia;229.2;56.2;11628.7;303.2;13632.5
Tel Aviv-Yafo, Israel;217.5;56.7;12053.3;277.7;7096.7
Manila, Philippines;202.7;54;9499.2;298.7;6917.5
Washington, DC, United States;200.9;54.2;9722.4;295.4;5730
Buenos Aires, Argentina;198.5;52.6;8309.1;221.4;9550
Ahmedabad, India;186.8;52;7829.7;189.5;6346.7
Bangalore, India;180.2;49.5;5991.7;267.7;8187.8
Singapore, Singapore;180.1;51.8;7656.7;169.4;4633.1
Brisbane, Australia;173.9;50.3;6591.1;243.9;4288
Santiago, Chile;172.8;50.6;6780.3;155.8;4496
Calgary, Canada;167.5;50;6359.5;142.3;4016.2
Sydney, Australia;165.2;48.1;5127.7;201.3;5873.5
London, United Kingdom;163.8;50.5;6741.3;414.4;696.4
Chennai, India;161.4;48.8;5568.6;179.4;3637
Hyderabad, India;160.2;45;3485.1;250.9;9780
Rome, Italy;158.1;47.5;4785.7;206;4388.5
Tokyo, Japan;153.6;50.3;6567.7;134.7;684
Bogota, Colombia;153.3;46.7;4322.9;266.1;3631.7
San Francisco, CA, United States;152.7;45.6;3773.5;207.2;5880
Houston, TX, United States;151.7;43;2626.4;190.1;11438
Montreal, Canada;147.4;44.1;3075.5;224.5;6489.5
Miami, FL, United States;142.8;45.7;3806.4;164.5;3060
Delhi, India;142.2;42.9;2570.9;208.3;7011.4
Kuala Lumpur, Malaysia;141.9;43.3;2739.6;204.2;6120
Beirut, Lebanon;141.6;41.8;2166.1;157.2;9975
Bratislava, Slovakia;136.7;45;3485.1;212.5;1963.3
Perth, Australia;135.6;43.5;2826.6;178.8;3914
Phoenix, AZ, United States;135.4;42.5;2435.4;128.9;6220
Athens, Greece;129.9;41.4;2060.6;182.2;5250
Warsaw, Poland;128.6;43.3;2739.6;93.5;3248.3
Caracas, Venezuela;126;38.8;1281.1;163.4;8977.5
Bangkok, Thailand;124.9;38.6;1237.5;149;9120
Hong Kong, Hong Kong (China);120.4;40.8;1863.8;153.1;3470
Vancouver, Canada;120.4;39.4;1441.2;183;5236.8
Melbourne, Australia;118.5;39.5;1483.8;142.9;4866.3
Boston, MA, United States;117.9;42.4;2398.3;77.7;1888
Quito, Ecuador;117.9;43;2626.4;90.2;1200
Rio de Janeiro, Brazil;116.6;42;2253.6;149;1344
Krakow (Cracow), Poland;113.7;40.7;1811.9;77.3;2830
San Antonio, TX, United States;110.2;35;557.7;149.8;9310
Auckland, New Zealand;109.2;39;1343.7;74.2;3724
Philadelphia, PA, United States;108.3;35;557.7;137.1;8645
Johannesburg, South Africa;106.7;34.6;505.8;139.7;8545.2
Darwin, Australia;106.6;38.7;1260.6;211.4;1929.3
Toronto, Canada;106.1;35.1;578.4;226.8;6097.9
Stockholm, Sweden;106;39.6;1501.9;91.4;1970
Taipei, Taiwan;104;38.3;1180.9;75.6;3060
Lausanne, Switzerland;102.2;36;713.3;131.6;4699.3
Oslo, Norway;101.7;40.3;1711;59.9;900
Bucharest, Romania;100.6;36;713.3;107;4566.2
Brasov, Romania;98.2;39.3;1430.2;44.9;1242
Edmonton, Canada;97.8;33.6;380.5;166.4;6078.8
Lisbon, Portugal;96.6;36.8;860;87.5;2676.4
Kiev (Kyiv), Ukraine;95.7;36.6;819.1;82.9;2746
Panama City, Panama;94.2;31.7;205.3;115.4;8423.3
Victoria, Canada;93;31.7;205.3;159.7;7093.3
Zagreb, Croatia;91.9;35.3;606.8;136.2;2463
Yerevan, Armenia;91.1;35;557.7;74.4;3410
Chandigarh, India;89.9;31.7;205.3;90.2;7093.3
Doha, Qatar;89.5;30.5;133.4;120.5;7980
Milan, Italy;89.3;36;713.3;63.6;2083.7
Sao Paulo, Brazil;87.4;31.1;170.1;122.6;6217.1
Ankara, Turkey;87.3;31.6;200.5;93.7;6104
Portland, OR, United States;87.3;31.4;186.8;104;6138.4
Shanghai, China;85.6;34.3;467.7;90;2440
Cape Town, South Africa;84.9;29.8;98.8;133.7;6786
Chicago, IL, United States;82.2;33;318;81;2996
Austin, TX, United States;81;28;47.8;117.5;7448
Vilnius, Lithuania;79.2;33.5;369.6;112.5;1515
Wroclaw, Poland;78.1;33.4;358.8;69;1824
Barcelona, Spain;76.9;30.5;133.4;85.5;3931.7
Madrid, Spain;74.7;29.2;77.6;84;4568.3
New York, NY, United States;74.7;31.6;198.8;88.1;2309.3
Bergen, Norway;73;34;426.6;53;733.3
Gdansk, Poland;70;31.7;205.3;49.6;1730
