City;Traffic Index;Time Index;Time Exp. Index;Inefficiency Index;CO2�Emission Index
Constanta, Romania;70;30.8;146.9;133.7;1454
Brno, Czech Republic;68.8;29.8;100.9;53.1;2824
Bremen, Germany;68.6;33;318;56.4;626.7
Dubai, United Arab Emirates;68.4;26;27;97;4482.8
Brussels, Belgium;67.8;23.2;23.2;97.2;5373.2
Ulaanbaatar, Mongolia;67.6;26.7;30.7;68;4433.3
Prague, Czech Republic;66.3;31.8;211.3;43.7;1070.2
Curitiba, Brazil;65.3;26;27;53.3;4323.3
Hamilton, Canada;65.3;21.2;21.2;76.8;5652.5
Belgrade, Serbia;62.5;26;27;51.7;3497
Budapest, Hungary;61.2;29;72.3;45.2;1721.7
Copenhagen, Denmark;61;24.7;24.7;69.9;3186.7
Paris, France;60;31.6;198.5;49.7;314.3
Belfast, United Kingdom;59.3;20.7;20.7;47.8;4433.3
Hamburg, Germany;58.4;26.5;29.5;52.1;2215
Thessaloniki, Greece;57.6;20.5;20.5;53.3;3822.5
San Jose, CA, United States;56.6;17.3;17.3;62.2;4433.3
Wellington, New Zealand;56.1;28.3;54.7;33.2;1286.7
Tbilisi, Georgia;54.9;20;20;48.4;3303.3
Cluj-Napoca, Romania;53.8;27.8;43.4;36.6;1085
Berlin, Germany;53.2;26;27;35.7;1534
Sofia, Bulgaria;52.4;23.4;23.4;31.6;2062
Porto, Portugal;52.2;24;24;48.6;1605
Ljubljana, Slovenia;51.3;24.7;24.7;25.5;1650
Dublin, Ireland;50.7;23.5;23.5;83.6;1040
Basel, Switzerland;50.4;26;27;77.7;653.3
Frankfurt, Germany;50.3;28.8;65.1;49.4;250
Adelaide, Australia;47.4;20.8;20.8;44.2;1430.5
Munich, Germany;46;22.5;22.5;42.3;895
Trondheim, Norway;45.8;20.7;20.7;36.2;1268
Zurich, Switzerland;43.2;25.8;26.2;23.7;335
Tallinn, Estonia;43.1;23.8;23.8;13.5;692.4
Seoul, South Korea;42.4;23;23;31.1;493.3
Banja Luka, Bosnia And Herzegovina;40.1;17;17;16.8;1330
Canberra, Australia;39.1;10.2;10.2;32.1;2394
Nis, Serbia;35.8;19;19;8.2;554.7
Novi Sad, Serbia;34.8;8.5;8.5;15.5;2261
