City;Traffic Index;Time Index;Time Exp. Index;Inefficiency Index;CO2�Emission Index
Mumbai, India;386.8;74.8;41147;353;8166
Cairo, Egypt;353.2;64.5;21942.2;354.8;14830.2
Pune, India;347.5;64;21197;273.9;14727.5
Istanbul, Turkey;335.3;68.4;28283.3;269.8;6783.1
Kolkata, India;325.1;60.9;16901.7;441;12827
Salt Lake City, UT, United States;317.7;66;24276.3;259.8;6368.7
Dhaka, Bangladesh;309.8;60.2;16053.5;374.8;10722
Tehran, Iran;305.2;61;17061.8;257.3;9504.6
Jakarta, Indonesia;300.5;56.4;11809.5;300.9;13947.1
Saint Petersburg, Russia;299.5;62.5;19058.4;300.3;6668.8
Amman, Jordan;286.9;60.2;16053.5;300;6842
Belo Horizonte, Brazil;279.8;57.5;12931.8;258.6;8563.3
Coimbatore, India;272.4;63.8;20830.6;304.2;2200
Moscow, Russia;267.6;58;13477.9;223.5;6165.3
Manila, Philippines;264.4;54.7;10132.5;269.8;8573
San Diego, CA, United States;264.2;56.2;11628.7;249.8;7100
Mexico City, Mexico;256.4;50.6;6748.5;299.7;11315.6
Delhi, India;223.4;47.1;4547;233.3;8757.7
Hyderabad, India;221.9;50.5;6676.7;246.1;5481.8
Buenos Aires, Argentina;217.2;47.2;4628.1;213.4;7622.2
Seattle, WA, United States;215.9;42.5;2435.4;616.8;9842
Sao Paulo, Brazil;213.5;48.2;5186.9;226.7;6126.4
Santiago, Chile;212.5;50.6;6780.3;155.8;4496
Berlin, Germany;212.3;49.5;5996.4;468.4;4070
Dallas, TX, United States;211.2;44;3036.4;177;9757.5
Bangalore, India;208.5;45.1;3543.9;220.1;7920.4
Manchester, United Kingdom;208.3;45.2;3603.5;178;8046.5
Montreal, Canada;204.8;48.1;5157.7;210.4;4950.9
Ahmedabad, India;204.3;49;5695.8;134.3;4650
Denver, CO, United States;202.7;43.3;2758.8;147.2;8966.7
Beirut, Lebanon;200.1;41.8;2166.1;143.5;9975
Houston, TX, United States;199.4;40.9;1898.9;187.3;10238.3
Singapore, Singapore;197.1;48.1;5137.7;161.5;4169.8
Cape Town, South Africa;196.9;42.4;2414.8;223.5;8171.1
Austin, TX, United States;196.2;39.8;1543.3;206.8;10573.5
Kuala Lumpur, Malaysia;195.3;43.7;2895.5;180;7124.4
Chennai, India;194.4;47.3;4690.7;156.5;4360.8
Ankara, Turkey;191.6;44.8;3407.5;192.1;5553.3
Brisbane, Australia;191;45.8;3882;227.3;4596.5
Tel Aviv-Yafo, Israel;188.5;44.8;3392.2;216.9;5010
Sydney, Australia;186.1;43.5;2814.6;175.8;5827.5
Porto Alegre, Brazil;185.8;49;5695.8;137.8;2464
Caracas, Venezuela;182.1;38.8;1281.1;163.4;8977.5
Rome, Italy;180.7;44.6;3307.8;198;4158.6
Toronto, Canada;175.5;40.1;1644.1;236.5;6322.1
Johannesburg, South Africa;175.5;36.8;862.9;157.4;9354.3
Athens, Greece;173.9;41.6;2129.2;180.6;5286.1
Milan, Italy;173.9;44;3036.4;137.7;3975.8
Melbourne, Australia;170.7;40.8;1857.3;155.4;5522.1
Bogota, Colombia;169.1;45.5;3724.4;218.5;2279
Vancouver, Canada;167.5;40.8;1837.7;176.6;4976.3
Ottawa, Canada;166.9;40;1613.8;144.5;5574
San Francisco, CA, United States;166.3;40.5;1761;191.8;4900
Bangkok, Thailand;165.9;36.5;800.8;131.4;8040
London, United Kingdom;164;47.5;4804.8;319.1;855.3
Lisbon, Portugal;157;41.5;2093.7;141.2;3339.2
Bucharest, Romania;156.4;38.1;1132.9;152.3;5223.8
Doha, Qatar;156.4;33.4;358.8;106.6;8778
Tokyo, Japan;154.6;47.6;4868.1;117.9;691.4
Budapest, Hungary;154.4;41.5;2093.7;136.6;3075.2
Dubai, United Arab Emirates;152.2;35.4;621.3;252.7;5767.7
Rio de Janeiro, Brazil;151.4;45;3485.1;134.8;1280
Calgary, Canada;149.5;40.4;1718.1;114.2;3245
Hong Kong, Hong Kong (China);149.4;40.4;1739.5;142.2;3057.1
New York, NY, United States;147.9;39.4;1443.5;107.6;3612.5
Beijing, China;145;31.4;186.8;185.1;7448
Perth, Australia;144.7;38.5;1209.5;138;3572
Phoenix, AZ, United States;144.2;33.8;397.4;105.8;6435
Ulaanbaatar, Mongolia;143.7;36.9;867.4;100.1;4541.4
Edmonton, Canada;143.5;33.6;380.5;154;6078.8
Boston, MA, United States;143.3;42.4;2398.3;72.6;1888
Poznan, Poland;138.9;41.2;1997.6;67.4;2005
Warsaw, Poland;136.1;37.5;996.3;85.1;3344.5
Madrid, Spain;135.1;34.9;540;120.8;4361.2
Tbilisi, Georgia;130.4;38;1104.6;154.2;2182
Portland, OR, United States;128.8;30;109.4;99.3;6135
Stockholm, Sweden;128;37.8;1049.5;82;2381.2
Almaty, Kazakhstan;126.8;40;1613.8;50.2;1563.3
Sofia, Bulgaria;121.4;37.9;1084.4;181.1;1373.1
Wroclaw, Poland;120.1;35.9;689.5;76.1;2427.1
Curitiba, Brazil;118.9;28.2;52.9;75.8;5570
Zagreb, Croatia;118.7;33.9;409.7;104.4;2961.1
Kiev (Kyiv), Ukraine;115.4;33;318;78;3101.4
Chicago, IL, United States;113.9;33;318;70.1;2996
Shanghai, China;113.5;34.3;467.7;90;2306.7
Copenhagen, Denmark;110.2;27.6;40.6;92.4;4441.4
Brussels, Belgium;106.9;24.3;24.3;90.2;4644.3
Barcelona, Spain;106.5;28.7;64.1;68.1;3781.4
Paris, France;105.8;35.7;658.6;90.6;1222.2
Auckland, New Zealand;104;34;426.6;53.7;1769.6
Belgrade, Serbia;102.6;26;27;59.7;4053.3
Yerevan, Armenia;101.9;31.4;188.7;67.8;2350.9
Belfast, United Kingdom;98.7;20.7;20.7;47.8;4433.3
Prague, Czech Republic;95.7;34.3;467.7;58.5;1029.1
Thessaloniki, Greece;94.2;20.5;20.5;53.3;3822.5
Brno, Czech Republic;93.1;30.2;119.6;59.1;1955.6
Bremen, Germany;92.7;33.6;380.5;70.4;974.8
Constanta, Romania;92.6;30.8;146.9;133.7;1454
Wellington, New Zealand;92.2;27.5;39.6;51.1;2627.5
Edinburgh, United Kingdom;90.8;23.2;23.2;48.5;3112.8
Seoul, South Korea;90.7;34.8;522.7;85.6;570
Oslo, Norway;87.8;32;230.3;50.9;1124
Vilnius, Lithuania;87.2;25.7;26.1;90.7;2195.7
Hamburg, Germany;86.9;24.2;24.2;50.3;2570
Ljubljana, Slovenia;81.6;20.8;20.8;29.4;2586
Gdansk, Poland;80.2;27.8;44.2;39.7;1556.8
Bergen, Norway;80;28.4;56.2;44.8;1397.6
Porto, Portugal;78.5;22.3;22.3;39.9;2042.9
Adelaide, Australia;77;20.2;20.2;41.6;2102
Banja Luka, Bosnia And Herzegovina;76.4;24.6;24.6;47.7;1596
Dublin, Ireland;71;24.1;24.1;65.5;1146.8
Canberra, Australia;70.8;10.8;10.8;32.2;2606.8
Trondheim, Norway;67.7;19.1;19.1;34.6;1466.9
Katowice, Poland;67.6;13.4;13.4;26.9;2059.2
Cluj-Napoca, Romania;66.6;23.2;23.2;32.9;1080.8
Tallinn, Estonia;62;25.5;25.7;18;737
Medan, Indonesia;61.8;25.6;25.8;41.4;608
Frankfurt, Germany;59.7;28.8;65.1;49.4;250
Zurich, Switzerland;50.8;24.8;24.8;21.2;268
Vienna, Austria;49.3;25.3;25.4;8.2;256.7
Nis, Serbia;44.8;19.6;19.6;6.4;332.8
