Country;Crime Index;Year
Bosnia And Herzegovina;45.8;2015
Botswana;46.8;2015
Brazil;69;2015
Brunei;30.4;2015
Bulgaria;43.5;2015
Cambodia;44.1;2015
Cameroon;64.8;2015
Canada;37.5;2015
Chile;45;2015
China;41.7;2015
Colombia;56.9;2015
Costa Rica;63;2015
Croatia;29.3;2015
Cyprus;31.6;2015
Czech Republic;32.9;2015
Denmark;25.7;2015
Dominican Republic;67.7;2015
Ecuador;54;2015
Egypt;60.1;2015
El Salvador;69.4;2015
Estonia;28.1;2015
Ethiopia;35.1;2015
Faroe Islands;18.5;2015
Fiji;49.4;2015
Finland;29.5;2015
France;49.7;2015
Georgia;22;2015
Germany;28.5;2015
Ghana;49.4;2015
Greece;41.4;2015
Guatemala;79.3;2015
Guyana;76.9;2015
Haiti;62.3;2015
Honduras;74.9;2015
Hong Kong;19.2;2015
Hungary;41.8;2015
Iceland;33.3;2015
India;46.5;2015
Indonesia;47.2;2015
Iran;50.9;2015
Iraq;54.1;2015
Ireland;49.1;2015
Isle Of Man;15.1;2015
Israel;30.4;2015
Italy;47.5;2015
Jamaica;71.9;2015
Japan;20.2;2015
Jordan;45.5;2015
Kazakhstan;46.7;2015
Kenya;72.6;2015
Kosovo (Disputed Territory);46.8;2015
Kuwait;43.5;2015
Kyrgyzstan;65.1;2015
Laos;36.2;2015
Latvia;37.2;2015
Lebanon;52;2015
Libya;69.6;2015
Lithuania;36.7;2015
Luxembourg;35.7;2015
Malaysia;70;2015
Maldives;68.8;2015
Malta;25.9;2015
Mauritius;48.5;2015
Mexico;53.8;2015
Moldova;49.7;2015
Monaco;27.9;2015
Mongolia;70.3;2015
Montenegro;34.9;2015
Morocco;47.5;2015
Mozambique;60.5;2015
Myanmar;49.8;2015
Namibia;55.6;2015
Nepal;49.2;2015
Netherlands;35.4;2015
New Zealand;39.8;2015
Nicaragua;42.4;2015
Nigeria;76.6;2015
North Macedonia;36.1;2015
Norway;31.2;2015
Oman;34.4;2015
Pakistan;61.2;2015
Palestine;35.4;2015
Panama;50.1;2015
Papua New Guinea;69.9;2015
Paraguay;55.6;2015
Peru;57.6;2015
Philippines;43.1;2015
Poland;33;2015
Portugal;35.8;2015
Puerto Rico;67.1;2015
Qatar;21;2015
Romania;29.7;2015
Russia;51.3;2015
Rwanda;19.2;2015
Saudi Arabia;34.6;2015
Serbia;43.4;2015
Singapore;17.6;2015
Slovakia;33.3;2015
Slovenia;28.7;2015
Somalia;65.6;2015
South Africa;78.4;2015
South Korea;18;2015
South Sudan;85.3;2015
Spain;33.9;2015
Sri Lanka;50;2015
Sudan;35.7;2015
Sweden;42.1;2015
Switzerland;26.8;2015
Syria;56.3;2015
Taiwan;21.9;2015
Tanzania;61.8;2015
Thailand;37.1;2015
Timor-Leste;43.8;2015
Trinidad And Tobago;75.3;2015
Tunisia;42.7;2015
Turkey;36.4;2015
Turkmenistan;17.9;2015
Uganda;59.4;2015
Ukraine;49.4;2015
United Arab Emirates;22.2;2015
United Kingdom;42;2015
United States;50;2015
Uruguay;47.2;2015
Uzbekistan;58.1;2015
Venezuela;84.1;2015
Vietnam;52.3;2015
Yemen;70.1;2015
Zambia;41.7;2015
Zimbabwe;62.2;2015
