Country Name,Year,Area,Sex,Religion,Record Type,Reliability,Source Year,Value,Value Footnotes
Portugal,2001,Total,Male,Catholic,Census - de facto - complete tabulation,"Final figure, complete",2005.0,3416247.0,18
Austria,2001,Total,Male,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2003.0,2775833.0,
Aruba,2010,Total,Male,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2012.0,36506.0,1
Antigua and Barbuda,2001,Total,Male,Anglican,Census - de jure - complete tabulation,"Final figure, complete",2009.0,9482.0,
Tokelau,2011,Total,Male,Christian Congregational,Census - de jure - complete tabulation,"Final figure, complete",2013.0,319.0,"71,98"
Liberia,2008,Total,Male,Christian,Census - de facto - complete tabulation,"Final figure, complete",2010.0,1480220.0,
Viet Nam,2019,Total,Male,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2020.0,41509353.0,
Albania,2023,Total,Male,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2024.0,545828.0,
Tonga,1996,Total,Male,Free Wesleyan Church,Census - de facto - complete tabulation,"Final figure, complete",1998.0,19966.0,101
Chile,2002,Total,Male,Catholic,Census - de facto - complete tabulation,"Final figure, complete",2007.0,3725025.0,18
Sint Maarten (Dutch part),2011,Total,Male,Roman Catholic,Census - de facto - complete tabulation,"Final figure, complete",2015.0,5201.0,
Bahrain,2020,Total,Male,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2021.0,674329.0,
Saint Lucia,2001,Total,Male,Roman Catholic,Census - de facto - complete tabulation,"Final figure, complete",2003.0,50395.0,
Cambodia,2008,Total,Male,Buddhist,Census - de facto - complete tabulation,"Final figure, complete",2009.0,6313684.0,
Botswana,2011,Total,Male,Christian,Census - de facto - complete tabulation,"Final figure, complete",2015.0,515891.0,
Bangladesh,2022,Total,Male,Muslim,Census - de facto - complete tabulation,"Final figure, complete",2023.0,74380118.0,"7,8"
Micronesia (Federated States of),2000,Total,Male,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2002.0,28591.0,
Liechtenstein,2015,Total,Male,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2019.0,13434.0,
